Row ID,K2 Name,K2 ID,Alt Name,RA (J2000),Dec (J2000),Disc Method,Number of Planets,Planet Radius,Planet Radius Limit Flag,Semi-Major Axis,Semi-Major Axis Flag,Orbital Eccentricity,Orbital Eccentricity Limit Flag, Orbital Inclination,Orbital Inclination Limit Flag,Planet Mass,Planet mass Limit Flag,Planet Density,Planet Density Limit Flag,Period,Period Limit Flag,Stellar Mass,Stellar Mass Limit Flag,Stellar Radius,Stellar Radius Limit Flag,Stellar Distance,Stellar  Distance limit Flag,Stellar Optical mag,Stellar Optical mag Limit Flag,Optical Mag Band Name,Stellar Teff, Stellar Teff Limit Flag,# of Planet Notes,Last Update,Gaia gmag,Kepmag,K2 Campaign
integer,string,integer,string,ra,dec,string,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,float,float,integer,float,integer,float,integer,string,integer,integer,integer,string,float,float,string
11,K2-8 b,201445392,K2-8 b,11 19 10.481,-00 17 03.75,Transit,2,0.319,0,0.086,0,,,86.420,0,,,,,10.352,0,0.780,0.000,0.740,0,,,14.610,0,V (Johnson),4870,0,0,2016-07-07,,14.384,1
12,K2-9 b,201465501,K2-9 b,11 45 03.472,+00 00 19.08,Transit,1,0.201,0,0.091,0,,,87.983,0,,,,,18.450,0,0.300,0.000,0.310,0,,,15.630,0,V (Johnson),3390,0,0,2016-01-21,,14.957,1
13,K2-10 b,201577035,K2-10 b,11 28 29.271,+01 41 26.29,Transit,1,0.343,0,,,0.310,0,,,0.085,0,2.600,0,19.304,0,0.920,0.000,0.980,0,,,12.418,0,V (Johnson),5620,0,0,2016-02-11,,12.296,1
14,K2-11 b,201596316,K2-11 b,11 16 10.082,+01 59 12.62,Transit,1,0.674,0,0.226,0,,,,,,,,,39.938,0,1.350,0.000,5.150,0,,,13.386,0,V (Johnson),5433,0,0,2015-07-16,,13.151,1
15,K2-12 b,201613023,K2-12 b,11 32 46.088,+02 14 41.58,Transit,1,0.208,0,0.080,0,,,,,,,,,8.282,0,1.010,0.000,1.010,0,,,12.258,0,V (Johnson),5800,0,0,2015-07-16,,12.137,1
16,K2-13 b,201629650,K2-13 b,11 20 37.328,+02 30 09.71,Transit,1,0.169,0,0.211,0,,,,,,,,,39.915,0,0.800,0.000,0.780,0,,,12.901,0,V (Johnson),5698,0,0,2015-07-16,,12.727,1
17,K2-14 b,201635569,K2-14 b,11 52 13.685,+02 35 39.28,Transit,1,0.429,0,0.063,0,,,,,,,,,8.368,0,0.470,0.000,0.450,0,,,16.310,0,V (Johnson),3789,0,0,2015-07-16,,15.547,1
18,K2-15 b,201736247,K2-15 b,11 52 26.591,+04 15 17.09,Transit,1,0.221,0,0.091,0,,,,,,,,,11.810,0,0.720,0.000,0.680,0,,,14.663,0,V (Johnson),5131,0,0,2015-07-16,,14.403,1
19,K2-16 b,201754305,K2-16 b,11 40 23.342,+04 33 26.42,Transit,2,0.180,0,0.067,0,,,87.970,0,,,,,7.619,0,0.680,0.000,0.660,0,,,14.670,0,V (Johnson),4742,0,0,2016-07-07,,14.298,1
20,K2-16 c,201754305,K2-16 c,11 40 23.342,+04 33 26.42,Transit,2,0.227,0,0.123,0,,,87.830,0,,,,,19.079,0,0.680,0.000,0.660,0,,,14.670,0,V (Johnson),4742,0,0,2016-07-07,,14.298,1
21,K2-17 b,201855371,K2-17 b,11 53 19.146,+06 24 44.14,Transit,1,0.199,0,0.119,0,,,,,,,,,17.968,0,0.710,0.000,0.660,0,,,13.519,0,V (Johnson),4320,0,0,2015-07-16,,12.997,1
22,K2-18 b,201912552,K2-18 b,11 30 14.509,+07 35 18.21,Transit,2,0.212,0,0.143,0,0.430,1,89.579,0,0.025,0,3.300,0,32.940,0,0.360,0.000,0.410,0,34.000,0,13.496,0,V (Johnson),3457,0,1,2017-12-21,,12.473,1
23,K2-19 b,201505350,K2-19 b,11 39 50.475,+00 36 12.87,Transit,3,0.691,0,0.074,0,,,89.470,0,,,,,7.919,0,0.930,0.000,0.860,0,,,13.000,0,V (Johnson),5430,0,0,2016-07-07,,12.806,1
24,K2-19 c,201505350,K2-19 c,11 39 50.475,+00 36 12.87,Transit,3,0.434,0,0.097,0,,,87.990,0,,,,,11.907,0,0.930,0.000,0.860,0,,,13.000,0,V (Johnson),5430,0,0,2016-07-07,,12.806,1
25,K2-20 b,202126852,HAT-P-56 b,06 43 23.529,+27 15 08.25,Transit,1,1.466,0,0.042,0,0.246,1,82.130,0,2.180,0,0.860,0,2.791,0,1.300,0.000,1.430,0,310.500,0,10.908,0,V (Johnson),6566,0,0,2015-07-23,10.775,10.900,0
26,K2-25 b,210490365,K2-25 b,04 13 05.624,+15 14 51.95,Transit,1,0.306,0,,0,0.270,0,88.300,0,,0,,0,3.485,0,0.290,0.000,0.290,0,,,15.881,0,V (Johnson),3180,0,0,2017-09-28,,14.528,4
27,K2-39 b,206247743,K2-39 b,22 33 28.411,-09 01 21.97,Transit,1,0.509,0,0.057,0,0.152,0,,,0.125,0,1.170,0,4.605,0,1.190,0.000,2.930,0,,,10.830,0,V (Johnson),4912,0,0,2017-02-09,,10.581,3
